ID,Vareflyt,År,Måned,Varenr,Landkode,Mengde,Verdi
398190,Eksport,2022,6,03048200,AU,5000,563069
398191,Eksport,2022,6,03048200,CA,25310,3040905
398296,Eksport,2022,6,03053910,DK,19000,554839
398303,Eksport,2022,6,03054100,CA,20,3779
398304,Eksport,2022,6,03054100,DK,3202,531616
398325,Eksport,2022,6,03054100,GB,7096,1157840
398334,Eksport,2022,6,03054300,CA,96305,15281536
398335,Eksport,2022,6,03054300,DK,184,29674
398896,Eksport,2022,7,03021411,CA,783,93908
399351,Eksport,2022,7,03044100,DK,137216,15627558
399381,Eksport,2022,7,03044100,GB,196790,27284062
399397,Eksport,2022,7,03044200,AU,7670,1024992
399459,Eksport,2022,7,03048100,AU,210241,27803540
399461,Eksport,2022,7,03048100,CA,169062,30830656
399463,Eksport,2022,7,03048100,DK,87297,6571532
399489,Eksport,2022,7,03048100,GB,59424,7801850
399500,Eksport,2022,7,03048200,CA,41670,5282307
399589,Eksport,2022,7,03053910,DK,36680,1180200
399594,Eksport,2022,7,03054100,DK,6511,782949
399623,Eksport,2022,7,03054300,CA,77263,11527838
402731,Eksport,2022,2,03021411,CA,26329,2241893
403233,Eksport,2022,2,03044100,DK,246368,29816754
403238,Eksport,2022,2,03044100,FO,3097,320279
403263,Eksport,2022,2,03044100,GB,284034,34007692
403276,Eksport,2022,2,03044200,AU,10950,1127280
403357,Eksport,2022,2,03048100,AU,149315,15987155
403359,Eksport,2022,2,03048100,CA,105842,9772230
403360,Eksport,2022,2,03048100,DK,100280,9833846
403370,Eksport,2022,2,03048100,IE,5103,704058
403386,Eksport,2022,2,03048100,GB,82759,9263249
403396,Eksport,2022,2,03048200,CA,115687,12218726
403512,Eksport,2022,2,03053910,DK,116160,1903221
403521,Eksport,2022,2,03054100,CA,760,134402
403522,Eksport,2022,2,03054100,DK,435,85697
403554,Eksport,2022,2,03054300,CA,51005,8073272
404132,Eksport,2022,8,03021411,CA,44533,3098400
404593,Eksport,2022,8,03044100,DK,263466,26506728
404601,Eksport,2022,8,03044100,IE,612,76028
404622,Eksport,2022,8,03044100,GB,194637,23424736
404703,Eksport,2022,8,03048100,AU,296741,41272208
404704,Eksport,2022,8,03048100,CA,109703,17877848
404705,Eksport,2022,8,03048100,DK,70414,6163784
